t, position, vel
5.82, 9.502975000000003, 0.7049999999999984
5.84, 9.516975000000002, 0.6949999999999981
5.86, 9.530775000000002, 0.6849999999999984
5.88, 9.544375000000002, 0.6749999999999985
5.9, 9.557775000000003, 0.6649999999999983
5.92, 9.570975000000002, 0.6549999999999978
5.94, 9.583975000000002, 0.6449999999999981
5.96, 9.596775000000003, 0.6349999999999981
5.98, 9.609375000000002, 0.624999999999998
6.0, 9.621775000000001, 0.6149999999999987
6.02, 9.633975000000001, 0.6049999999999989
6.04, 9.645975000000002, 0.5949999999999991
6.06, 9.657775, 0.5849999999999986
6.08, 9.669375, 0.5749999999999993
6.1, 9.680775, 0.5649999999999996
6.12, 9.691975000000001, 0.5549999999999995
6.14, 9.702975, 0.544999999999999
6.16, 9.713775, 0.5349999999999997
6.18, 9.724375, 0.525
6.2, 9.734775, 0.5149999999999997
6.22, 9.744975, 0.5049999999999992
6.24, 9.754975, 0.4949999999999999
6.26, 9.764775, 0.485
6.28, 9.774375000000001, 0.4749999999999998
6.3, 9.783775, 0.4649999999999991
6.32, 9.792975, 0.45499999999999957
6.34, 9.801975, 0.44499999999999973
6.36, 9.810775000000001, 0.4349999999999994
6.38, 9.819375, 0.4249999999999985
6.4, 9.827775, 0.414999999999999
6.42, 9.835975000000001, 0.404999999999999
6.44, 9.843975, 0.39499999999999846
6.46, 9.851775, 0.38499999999999945
6.48, 9.859375, 0.3750000000000001
6.5, 9.866775, 0.365
6.52, 9.873975, 0.3549999999999993
6.54, 9.880975, 0.3450000000000004
6.56, 9.887775, 0.33500000000000085
6.58, 9.894375, 0.3250000000000007
6.6, 9.900775, 0.3149999999999997
6.62, 9.906975, 0.3050000000000009
6.64, 9.912975, 0.29500000000000126
6.66, 9.918775, 0.28500000000000103
6.68, 9.924375, 0.2749999999999998
6.7, 9.929775, 0.2650000000000009
6.72, 9.934975, 0.2550000000000012
6.74, 9.939975, 0.24500000000000066
6.76, 9.944775, 0.23499999999999907
6.78, 9.949375, 0.2250000000000002
6.8, 9.953775, 0.2150000000000003
6.82, 9.957975000000001, 0.20499999999999938
6.84, 9.961975, 0.19499999999999723
6.86, 9.965775, 0.18499999999999822
6.88, 9.969375000000001, 0.17499999999999805
6.9, 9.972775, 0.16499999999999654
6.92, 9.975975, 0.1549999999999988
6.94, 9.978975, 0.14499999999999988
6.96, 9.981775, 0.13499999999999945
6.98, 9.984375, 0.1249999999999973
7.0, 9.986775, 0.11499999999999998
7.02, 9.988975, 0.10500000000000115
7.04, 9.990975, 0.09500000000000032
7.06, 9.992775, 0.08499999999999683
7.08, 9.994375, 0.07500000000000022
7.1, 9.995775, 0.06500000000000143
7.12, 9.996975, 0.05499999999999942
7.14, 9.997975, 0.04499999999999243
7.16, 9.998775, 0.034999999999996916
7.18, 9.999375, 0.02499999999999728
7.2, 9.999775, 0.014999999999988628
7.22, 9.999975, 0.005000000000012128
7.24, 10.0, 0.0
7.26, 10.0, 0.0
7.28, 10.0, 0.0
7.3, 10.0, 0.0
7.32, 10.0, 0.0
7.34, 10.0, 0.0
7.36, 10.0, 0.0
7.38, 10.0, 0.0
7.4, 10.0, 0.0
7.42, 10.0, 0.0
7.44, 10.0, 0.0
7.46, 10.0, 0.0
7.48, 10.0, 0.0
7.5, 10.0, 0.0
7.52, 10.0, 0.0
7.54, 10.0, 0.0
7.56, 10.0, 0.0
7.58, 10.0, 0.0
7.6, 10.0, 0.0
7.62, 10.0, 0.0
7.64, 10.0, 0.0
7.66, 10.0, 0.0
7.68, 10.0, 0.0
7.7, 10.0, 0.0
7.72, 10.0, 0.0
7.74, 10.0, 0.0
7.76, 10.0, 0.0
7.78, 10.0, 0.0
7.8, 10.0, 0.0
7.82, 10.0, 0.0
7.84, 10.0, 0.0
7.86, 10.0, 0.0
7.88, 10.0, 0.0
7.9, 10.0, 0.0
7.92, 10.0, 0.0
7.94, 10.0, 0.0
7.96, 10.0, 0.0
7.98, 10.0, 0.0
8.0, 10.0, 0.0
8.02, 10.0, 0.0
8.04, 10.0, 0.0
8.06, 10.0, 0.0
8.08, 10.0, 0.0
8.1, 10.0, 0.0
8.12, 10.0, 0.0
8.14, 10.0, 0.0
8.16, 10.0, 0.0
8.18, 10.0, 0.0
8.2, 10.0, 0.0
8.22, 10.0, 0.0
8.24, 10.0, 0.0
8.26, 10.0, 0.0
8.28, 10.0, 0.0
8.3, 10.0, 0.0
8.32, 10.0, 0.0
8.34, 10.0, 0.0
8.36, 10.0, 0.0
8.38, 10.0, 0.0
8.4, 10.0, 0.0
8.42, 10.0, 0.0
8.44, 10.0, 0.0
8.46, 10.0, 0.0
8.48, 10.0, 0.0
8.5, 10.0, 0.0
8.52, 10.0, 0.0
8.54, 10.0, 0.0
8.56, 10.0, 0.0
8.58, 10.0, 0.0
8.6, 10.0, 0.0
8.62, 10.0, 0.0
8.64, 10.0, 0.0
8.66, 10.0, 0.0
8.68, 10.0, 0.0
8.7, 10.0, 0.0
8.72, 10.0, 0.0
8.74, 10.0, 0.0
8.76, 10.0, 0.0
8.78, 10.0, 0.0
8.8, 10.0, 0.0
8.82, 10.0, 0.0
8.84, 10.0, 0.0
8.86, 10.0, 0.0
8.88, 10.0, 0.0
8.9, 10.0, 0.0
8.92, 10.0, 0.0
8.94, 10.0, 0.0
8.96, 10.0, 0.0
8.98, 10.0, 0.0
9.0, 10.0, 0.0
9.02, 10.0, 0.0
9.04, 10.0, 0.0
9.06, 10.0, 0.0
9.08, 10.0, 0.0
9.1, 10.0, 0.0
9.12, 10.0, 0.0
9.14, 10.0, 0.0
9.16, 10.0, 0.0
9.18, 10.0, 0.0
